"course","section","required","title","author","edition","isbn"

"ACCT 2301","01","REQUIRED","FINANCIAL ACCOUNTING FOR UNDERGRADUATES","FERRIS","2ND 14","9781618530400"

"ACCT 2301","01","STUDY AID","ACCOUNTING I BARCHART","BARCHARTS","0","000000000000"

"ACCT 2301","02","REQUIRED","FINANCIAL ACCOUNTING FOR UNDERGRADUATES","FERRIS","2ND 14","9781618530400"

"ACCT 2301","02","STUDY AID","ACCOUNTING I BARCHART","BARCHARTS","0","000000000000"

"ACCT 2301","03","REQUIRED","FINANCIAL ACCOUNTING FOR UNDERGRADUATES","FERRIS","2ND 14","9781618530400"

"ACCT 2301","03","STUDY AID","ACCOUNTING I BARCHART","BARCHARTS","0","000000000000"

"ACCT 2301","04","REQUIRED","FINANCIAL ACCOUNTING FOR UNDERGRADUATES","FERRIS","2ND 14","9781618530400"

"ACCT 2301","04","STUDY AID","ACCOUNTING I BARCHART","BARCHARTS","0","000000000000"

"ACCT 2301","05","REQUIRED","FINANCIAL ACCOUNTING FOR UNDERGRADUATES","FERRIS","2ND 14","9781618530400"

"ACCT 2301","05","STUDY AID","ACCOUNTING I BARCHART","BARCHARTS","0","000000000000"

"ACCT 2303","01","REQUIRED","MANAGERIAL ACCOUNTING","WALTHER","'13","9781481235334"

"ACCT 2303","01","STUDY AID","ACCOUNTING II BARCHART","BARCHARTS","0","000000000000"

"ACCT 2303","02","REQUIRED","MANAGERIAL ACCOUNTING","WALTHER","'13","9781481235334"

"ACCT 2303","02","STUDY AID","ACCOUNTING II BARCHART","BARCHARTS","0","000000000000"

"ACCT 2303","03","REQUIRED","MANAGERIAL ACCOUNTING","WALTHER","'13","9781481235334"

"ACCT 2303","03","STUDY AID","ACCOUNTING II BARCHART","BARCHARTS","0","000000000000"

"ACCT 2303","04","REQUIRED","MANAGERIAL ACCOUNTING","WALTHER","'13","9781481235334"

"ACCT 2303","04","STUDY AID","ACCOUNTING II BARCHART","BARCHARTS","0","000000000000"

"ACCT 3331","01","REQUIRED","INTERMEDIATE ACCOUNTING W/WILEY PLUS","KIESO","15TH","9781118566138"

"ACCT 3331","02","REQUIRED","INTERMEDIATE ACCOUNTING W/WILEY PLUS","KIESO","15TH","9781118566138"

"ACCT 3331","03","REQUIRED","INTERMEDIATE ACCOUNTING W/WILEY PLUS","KIESO","15TH","9781118566138"

"ACCT 3333","01","REQUIRED","CORNERSTONES OF COST MANAGEMENT (LOOSE)","HANSEN","2ND 13","9781133597827"

"ACCT 3334","01","REQUIRED","TAXATION OF INDIVIDUALS 2014 W/CONNECT+","SPILKER","5TH","9780077722081"

"ACCT 3334","02","REQUIRED","TAXATION OF INDIVIDUALS 2014 W/CONNECT+","SPILKER","5TH","9780077722081"

"ACCT 3335","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"ACCT 3381","01","REQUIRED","CASES IN FINC ACCT W MYACCOUNTINGLAB","SHAPLAND","0","9780133129571"

"ACCT 3381","01","REQUIRED","SMALL BUSINESS START-UP KIT","PAKROO","7TH 12","9781413316841"

"ACCT 4157","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"ACCT 4157","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"ACCT 4157","03","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"ACCT 4343","01","REQUIRED","AUDITING+ASSURANCE SERV.-STUD.VALUE ED.","ARENS","15TH 14","9780133125689"

